                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.4017,                 1.0088,                 1.3961,                0.97761,                      1,                  0.995,                0.59283,                 1.3993,                 1.1266,                 1.2209,                0.00406,                0.00406,                0.00406
                     62,                 1.3678,                 1.0132,                 1.5395,                 0.9798,                      1,                  0.995,                0.60176,                 1.3414,                 1.3111,                 1.1854,               0.003961,               0.003961,               0.003961
                     63,                 1.4429,                 1.0619,                 1.5088,                 0.9824,                      1,                  0.995,                0.63191,                 1.2275,                 1.2118,                 1.1367,               0.003862,               0.003862,               0.003862
                     64,                  1.392,                 1.0981,                 1.5599,                0.97945,                      1,                  0.995,                0.63118,                 1.3411,                0.97427,                 1.1711,               0.003763,               0.003763,               0.003763
                     65,                 1.5857,                 1.1619,                 1.8081,                0.98413,                      1,                  0.995,                0.62305,                 1.3136,                 1.0332,                 1.1866,               0.003664,               0.003664,               0.003664
                     66,                 1.4105,                 1.0936,                 1.5694,                0.98958,                      1,                  0.995,                0.67843,                 1.1339,                 1.1529,                 1.1342,               0.003565,               0.003565,               0.003565
                     67,                 1.3279,                  1.076,                 1.5119,                0.98915,                      1,                  0.995,                0.68195,                 1.2913,                 1.1497,                 1.1673,               0.003466,               0.003466,               0.003466
                     68,                 1.4649,                 1.0707,                 1.6132,                0.99024,                      1,                  0.995,                0.66721,                 1.2389,                 1.1854,                  1.113,               0.003367,               0.003367,               0.003367
                     69,                 1.3319,                 1.0229,                 1.4657,                0.98943,                      1,                  0.995,                0.61137,                 1.2925,                 1.0308,                 1.1794,               0.003268,               0.003268,               0.003268
                     70,                 1.3876,                 1.0456,                 1.4731,                0.98672,                      1,                  0.995,                0.55648,                  1.455,                 1.0265,                 1.2431,               0.003169,               0.003169,               0.003169
                     71,                 1.3164,                  1.001,                  1.385,                0.99284,                      1,                  0.995,                  0.618,                  1.163,                 0.9346,                 1.1178,                0.00307,                0.00307,                0.00307
                     72,                  1.384,                 0.9747,                 1.4669,                0.98854,                      1,                  0.995,                 0.5862,                 1.3236,                0.85141,                 1.1404,               0.002971,               0.002971,               0.002971
                     73,                 1.3394,                 1.0269,                 1.3991,                0.99984,                      1,                  0.995,                0.64967,                 1.1946,                  0.925,                 1.1262,               0.002872,               0.002872,               0.002872
                     74,                 1.3188,                0.98541,                  1.459,                0.98923,                      1,                  0.995,                0.63655,                 1.2242,                 1.1075,                 1.1512,               0.002773,               0.002773,               0.002773
                     75,                 1.3221,                0.94333,                 1.4106,                0.98948,                      1,                  0.995,                0.59518,                 1.2861,                0.93217,                  1.146,               0.002674,               0.002674,               0.002674
                     76,                 1.2155,                0.90107,                 1.3708,                 0.9847,                      1,                  0.995,                0.71059,                 1.2758,                0.85593,                 1.1245,               0.002575,               0.002575,               0.002575
                     77,                 1.2751,                 0.9454,                 1.4453,                0.98873,                      1,                  0.995,                0.67285,                 1.1441,                0.81274,                 1.0981,               0.002476,               0.002476,               0.002476
                     78,                 1.2664,                0.88332,                 1.3987,                0.98809,                      1,                  0.995,                0.70705,                 1.1295,                0.87841,                 1.0823,               0.002377,               0.002377,               0.002377
                     79,                 1.3235,                0.92148,                   1.49,                0.98624,                      1,                  0.995,                 0.7281,                 1.0344,                0.74142,                 1.0894,               0.002278,               0.002278,               0.002278
